Process	Genes
positive regulation of epithelial cell proliferation	ACVRL1 AGAP2 AGGF1 AKT1 AMICA1 ANG ARG1 ARHGAP5 ARNT B4GALT1 BAD BMP2 BMP4 BMP5 BMP6 BMPR1A BMPR2 BNC1 C5AR1 C5AR2 CAV2 CCL11 CCL2 CCL24 CCL26 CCND1 CCR3 CDH13 CDH3 CTNNB1 CXCL12 CYBA CYP7B1 DLX5 DLX6 ECM1 EGFL7 EGFR EGR3 EPGN ERBB2 EYA1 F3 FGF1 FGF10 FGF2 FGF7 FGF9 FGFR2 FGFR3 FLT4 FOXE3 FOXP1 FOXP2 FZD7 GAS1 GDF2 GLUL GRN HIF1A HMGB2 HPN HRAS HRH3 HTR2B HYAL1 IGF1 IHH IL6 IQGAP3 ITGB3 JUN KDR KIF3A LACRT LAMB1 LAMC1 LRG1 MAP2K5 MED1 MMP12 MTOR MYC NF1 NME1 NME2 NOD2 NODAL NOG NOTCH1 NR4A1 NRARP NRP1 NRP2 OSR1 OSR2 PAX2 PDCD6 PDCL3 PDGFB PGF PLXNB3 PRKCA PRKD1 PRKD2 PRL PROX1 REG3A REG3G RICTOR RPTOR SCG2 SCN5A SEMA5A SFRP1 SHH SMO SOX11 SOX9 SRSF6 STXBP4 TACR1 TBX1 TBX18 TCF7L2 TEK TGFA TGFB1 THBS4 TNFAIP3 TNFSF12 TP63 TWIST1 VASH2 VEGFA VEGFB VEGFC VIP WDR48 WNT2 WNT5A WNT7A ZNF580 ZNF703
negative regulation of epithelial cell proliferation	A4GNT ACVRL1 AIMP1 APC APOE APOH ATP5A1 ATPIF1 BMP4 BRCA2 CASK CAV1 CAV2 CDC73 CDH1 CDK6 CDKN1B CDKN1C CDKN2B CPB2 CTSV CXCR3 DAB2IP DLG1 EAF2 EFNB2 ENG EREG ESR2 ETV4 FBXW7 FGFR2 FGFR3 GAS1 GATA3 GDF2 GDF5 GHRL GPC3 HPN IFT122 IFT172 IFT52 IFT57 IFT74 IFT80 IFT88 IL26 INTU KDF1 KRIT1 KRT4 LECT1 LIMS1 LIMS2 LRP6 MAGED1 MCC MED1 MEF2A MEF2C MTSS1 NF1 NFIB NKX2-8 NKX3-1 NR2F2 PAX6 PBLD PEX2 PHB2 PLA2G2A PPARD PTCH1 PTEN PTPRK PTPRM RB1 RGCC ROBO1 RUNX3 SAV1 SCG2 SERPINF1 SFN SFRP1 SFRP2 SNAI2 SOX2 SOX9 SPARC STAT1 STK11 STRAP SULF1 TGFB1 TGFB2 TGFBR1 TGFBR3 THBS1 TINF2 TNMD TSC2 VASH1 VDR WDR77 WFDC1 WNT10B WNT5A XDH
regulation of mRNA processing	ACIN1 AGO2 AHCYL1 BARD1 BTG2 C1QBP CCNB1 CDC73 CDK11A CDK11B CELF3 CELF4 CELF6 CNOT1 CNOT7 CPEB3 CPSF4 CWC22 DDX5 HNRNPA2B1 IWS1 JMJD6 LEO1 MAGOH MBNL1 MBNL2 MYOD1 NCBP1 NSRP1 PABPC1 PABPN1 PAF1 POLR2G PTBP1 PTCD2 RBFOX2 RBFOX3 RBM11 RBM15B RBM25 RBM4 RBM5 RBM8A RBMX RBMY1A1 RNPS1 SAP18 SFSWAP SNW1 SRPK1 SRPK2 SRRM4 SRSF1 SRSF10 SRSF12 SRSF4 SRSF6 SRSF7 SRSF9 SUPT6H THRAP3 TIA1 TNRC6B TNRC6C TOB1 TRA2B U2AF2 WTAP ZFP36
positive regulation of mRNA processing	AGO2 BTG2 CCNB1 CDC73 CELF3 CELF4 CNOT1 CNOT7 CPEB3 LEO1 NCBP1 PABPC1 PAF1 POLR2G RBMX SNW1 THRAP3 TNRC6B TNRC6C TOB1 TRA2B ZFP36
negative regulation of mRNA processing	ACIN1 BARD1 C1QBP HNRNPA2B1 PTBP1 RBMX RNPS1 SAP18 SFSWAP SRSF10 SRSF12 SRSF4 SRSF6 SRSF7 SRSF9 TOB1 U2AF2
negative regulation of defense response to virus	C1QBP DHX58 EIF2AK2 IFIT1 IL2RA IRF3 ITCH MICB MUL1 NLRX1 PCBP2 PPM1B TARBP2 TRAF3IP1 TRIM38 TSPAN6
regulation of defense response to virus	AIM2 AP1B1 AP1G1 AP1M1 AP1M2 AP1S1 AP1S2 AP1S3 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 APOBEC3F APOBEC3G ARF1 ATP6V1H B2M BIRC2 BIRC3 C1QBP CD247 CD28 CD37 CD4 CD8B CREB3 DDX58 DDX60 DHX58 DOCK2 EIF2AK2 ELMO1 ELMOD2 FYN HCK HERC5 HLA-A IFIT1 IFNLR1 IL12B IL12RB1 IL15 IL23A IL23R IL27 IL2RA IRF3 ITCH LCK LILRB1 MAVS MB21D1 MICB MUL1 NLRX1 PACS1 PAK2 PCBP2 PM20D1 PML PPM1B RAC1 RNF216 SIN3A SPN TARBP2 TMEM173 TNFAIP3 TRAF3 TRAF3IP1 TRIM15 TRIM38 TSPAN32 TSPAN6 USP17L2 ZC3HAV1
regulation of defense response to virus by virus	AP1B1 AP1G1 AP1M1 AP1M2 AP1S1 AP1S2 AP1S3 AP2A1 AP2A2 AP2B1 AP2M1 AP2S1 ARF1 ATP6V1H B2M CD247 CD28 CD4 CD8B DOCK2 EIF2AK2 ELMO1 FYN HCK HLA-A LCK PACS1 PAK2 RAC1
regulation of defense response to virus by host	AIM2 APOBEC3F APOBEC3G CREB3 DDX58 IFIT1 IFNLR1 IL12B IL12RB1 IL15 IL23A IL23R IRF3 LILRB1 MAVS MB21D1 MICB MUL1 PM20D1 PML RNF216 SIN3A TARBP2 TMEM173 TNFAIP3 USP17L2
regulation of interleukin-1 secretion	AIM2 APOA1 CARD8 CASP1 CCL19 CCL3 CCR7 GAS6 IFNAR1 IFNG NLRP1 NLRP12 NLRP2 NLRP3 NOD2 P2RX7 PANX1 PYCARD PYDC1 SAA1 TRIM16 WNT5A
regulation of interleukin-1 beta secretion	AIM2 APOA1 CARD8 CASP1 CCL19 CCL3 CCR7 IFNAR1 IFNG NLRP1 NLRP12 NLRP2 NLRP3 NOD2 P2RX7 PANX1 PYCARD PYDC1 TRIM16 WNT5A
regulation of cytokine secretion	AGTR2 AIM2 ALOX15B ANXA1 ANXA4 APOA1 APOA2 ATG5 BTN2A2 BTNL2 C1QTNF3 C5 C5AR2 CADM1 CARD8 CASP1 CCL19 CCL3 CCR7 CD14 CD2 CD274 CD276 CD34 CD58 CHIA CIDEA CLEC4E CLEC5A CLEC6A CLEC9A CRP CRTAM CSF1R F2R F2RL1 FCN1 FFAR2 FFAR4 FGR FOXP3 GAS6 GATA3 GLMN GPAM H0Y858 HLA-DRB1 HTR2B HYAL2 IFNA2 IFNAR1 IFNG IL10 IL1A IL1RL1 IL26 IL33 IL36RN IL4R IL6 INS IRF3 LGR4 LILRB1 LRRC32 LYN MIF NLRP1 NLRP10 NLRP12 NLRP2 NLRP3 NOD2 P2RX7 PANX1 PRKCZ PTGER4 PYCARD PYDC1 RABGEF1 RGCC RLTPR SAA1 SCAMP5 SRGN SSC5D SYK TLR1 TLR10 TLR2 TLR4 TLR5 TLR6 TLR8 TLR9 TNF TNFRSF14 TNFRSF21 TNFRSF4 TNFSF15 TNFSF4 TRIM16 TRIM27 TWIST1 VTCN1 WNT5A
regulation of protein secretion	ACHE ADAM8 ADAM9 ADORA2A ADRB1 AGTR2 AIM2 ALOX15B ANG ANKRD1 ANXA1 ANXA4 APOA1 APOA2 ARFIP1 ATG5 BMP6 BTN2A2 BTNL2 C1QTNF3 C5 C5AR2 CADM1 CARD8 CASP1 CCL19 CCL3 CCR7 CD14 CD2 CD274 CD276 CD34 CD40 CD40LG CD58 CHIA CIDEA CLEC4E CLEC5A CLEC6A CLEC9A CRP CRTAM CSF1R DNAJC1 DNM1L DPH3 DRD2 DRD3 DRD4 EXPH5 F2R F2RL1 FCN1 FFAR2 FFAR4 FGA FGB FGG FGR FOXP3 GAS6 GATA3 GLMN GOLPH3 GOLPH3L GPAM H0Y858 HLA-DRB1 HTR2B HYAL2 IFNA2 IFNAR1 IFNG IL10 IL13 IL1A IL1RL1 IL2 IL26 IL33 IL36RN IL4R IL5 IL6 INS IRF3 KCNN4 KRT20 LEPRE1 LGR4 LILRB1 LRRC32 LYN MIF MYO18A NLRP1 NLRP10 NLRP12 NLRP2 NLRP3 NOD2 NR1H3 OPRM1 OR51E2 P2RX7 PAM PANX1 PIK3C3 PLA2G1B PPIA PPID PRKCZ PTGER4 PYCARD PYDC1 RABGEF1 RBP4 RGCC RHBDD3 RHBDF1 RHBDF2 RLTPR RPH3AL RSAD2 SAA1 SCAMP5 SEC24A SERGEF SRGN SSC5D STXBP5L SYK SYTL4 TGFB1 TGFB2 TGFB3 TLR1 TLR10 TLR2 TLR4 TLR5 TLR6 TLR8 TLR9 TNF TNFRSF14 TNFRSF21 TNFRSF4 TNFSF15 TNFSF4 TRAF2 TRAF6 TRIM16 TRIM27 TWIST1 VEGFC VTCN1 WNT5A ZNF384
negative regulation of protein secretion	ANXA1 ANXA4 APOA1 APOA2 BTN2A2 C1QTNF3 C5AR2 CD34 CIDEA DPH3 DRD2 DRD3 DRD4 F2R F2RL1 FFAR4 FOXP3 GAS6 IFNA2 IL10 IL33 IL36RN IL6 INS LGR4 LILRB1 LRRC32 NLRP12 NLRP3 NR1H3 OPRM1 PTGER4 RABGEF1 RGCC RHBDF1 RHBDF2 RSAD2 SERGEF SRGN SSC5D TNF TNFRSF21 TNFRSF4 TNFSF4 TRIM27
negative regulation of cytokine secretion	ANXA1 ANXA4 APOA1 APOA2 BTN2A2 C1QTNF3 C5AR2 CD34 CIDEA F2RL1 FFAR4 FOXP3 GAS6 IFNA2 IL10 IL36RN IL6 LGR4 LILRB1 LRRC32 NLRP12 NLRP3 PTGER4 RABGEF1 RGCC SRGN SSC5D TNF TNFRSF21 TNFRSF4 TNFSF4 TRIM27
positive regulation of protein secretion	ACHE ADAM8 ADAM9 ADORA2A ADRB1 AGTR2 AIM2 ALOX15B ANG ANKRD1 BMP6 BTNL2 C1QTNF3 C5 CADM1 CARD8 CASP1 CCL19 CCL3 CD14 CD2 CD274 CD276 CD34 CD58 CHIA CLEC4E CLEC5A CLEC6A CLEC9A CRTAM CSF1R DNM1L EXPH5 F2R F2RL1 FCN1 FFAR2 FGA FGB FGG FGR GATA3 GLMN GOLPH3 GOLPH3L HTR2B HYAL2 IFNAR1 IFNG IL10 IL13 IL1A IL1RL1 IL2 IL26 IL33 IL4R IL5 IL6 INS IRF3 KCNN4 MIF MYO18A NLRP1 NLRP10 NLRP12 NLRP2 NLRP3 NOD2 OR51E2 P2RX7 PANX1 PLA2G1B PPIA PPID PRKCZ PTGER4 PYCARD PYDC1 RBP4 RGCC RLTPR RPH3AL SAA1 SCAMP5 SEC24A STXBP5L SYK SYTL4 TGFB1 TGFB2 TGFB3 TLR2 TNF TNFRSF14 TNFRSF4 TNFSF15 TNFSF4 TRIM16 TWIST1 VEGFC VTCN1 WNT5A ZNF384
positive regulation of cytokine secretion	AGTR2 AIM2 ALOX15B BTNL2 C1QTNF3 C5 CADM1 CARD8 CASP1 CCL19 CCL3 CD14 CD2 CD274 CD276 CD34 CD58 CHIA CLEC4E CLEC5A CLEC6A CLEC9A CRTAM CSF1R F2R F2RL1 FCN1 FFAR2 FGR GATA3 GLMN HTR2B HYAL2 IFNAR1 IFNG IL10 IL1A IL1RL1 IL26 IL33 IL4R INS IRF3 MIF NLRP1 NLRP10 NLRP12 NLRP2 NLRP3 NOD2 P2RX7 PANX1 PRKCZ PTGER4 PYCARD PYDC1 RGCC RLTPR SAA1 SCAMP5 SYK TLR2 TNF TNFRSF14 TNFSF15 TRIM16 TWIST1 VTCN1 WNT5A
positive regulation of interleukin-1 secretion	AIM2 CARD8 CASP1 CCL19 CCL3 IFNAR1 IFNG NLRP1 NLRP12 NLRP2 NLRP3 NOD2 P2RX7 PANX1 PYCARD PYDC1 SAA1 TRIM16 WNT5A
positive regulation of interleukin-1 beta secretion	AIM2 CARD8 CASP1 CCL19 CCL3 IFNAR1 IFNG NLRP1 NLRP12 NLRP2 NLRP3 NOD2 P2RX7 PANX1 PYCARD PYDC1 TRIM16 WNT5A
regulation of inflammatory response	A2M ABR ACE2 ACP5 ADA ADAM8 ADAMTS12 ADCYAP1 ADIPOQ ADORA1 ADORA2A ADORA2B ADORA3 AGT AGTR1 AHSG ALOX5AP ANKRD42 ANXA1 AOAH APCS APOA1 APOD APOE BCL6 BCR BIRC2 BIRC3 BRD4 C1QBP C1QTNF3 C2 C3 C4A C4B C4BPA C4BPB C5 C6 C7 C8A C8B C8G C9 CALCA CALCRL CASP1 CASP12 CASP4 CASP5 CCL24 CCL3 CCL5 CCR2 CCR7 CD276 CD28 CD46 CD47 CD55 CD59 CFB CFH CFI CFP CHID1 CHRNA7 CMA1 CNR1 CNR2 CR1 CTSS CX3CL1 DUOXA1 DUOXA2 DUSP10 EDNRA EDNRB EGFR ELANE F12 FABP4 FAM132A FCER1A FCER1G FCGR1A FEM1A FFAR2 FFAR3 FFAR4 FOXF1 FOXP3 GATA3 GBA GGT1 GHRL GHSR GPER1 GPRC5B GPX1 GPX2 GPX4 GSTP1 H0Y858 HCK HLA-DRB1 HYAL2 IDO1 IER3 IL10 IL12B IL15 IL17A IL17B IL17C IL17F IL17RA IL17RC IL18 IL1B IL1R1 IL1RL1 IL1RL2 IL2 IL20 IL20RB IL21 IL22RA2 IL23A IL2RA IL33 IL4 IL6 IL6ST INS IRG1 ISL1 ITGA2 JAK2 KLF4 KLKB1 KRT1 LBP LTA LYN MAPK13 MAPK7 MAS1 MASP1 MEFV METRNL MGLL MTA1 MVK MYD88 NDFIP1 NFKB1 NLRP1 NLRP12 NLRP3 NLRP6 NLRX1 NOD2 NPY5R NR1D2 NR1H3 NT5E OSM OSMR OTULIN PARK7 PDE2A PER1 PGLYRP1 PGLYRP2 PIK3AP1 PIK3CG PLA2G2A PLA2G7 PPARD PPARG PRKCA PRKCD PROS1 PSMA6 PSMB4 PTGER3 PTGER4 PTGIS PTGS2 PTPN2 RABGEF1 RELA RHBDD3 RORA RPS19 S100A12 S100A8 S100A9 SAA1 SBNO2 SCGB1A1 SELE SEMA7A SERPINC1 SERPINE1 SERPINF1 SERPING1 SETD6 SHARPIN SHPK SLC7A2 SMAD3 SPN STAT5A STAT5B STK39 TAC1 TBC1D23 TEK TFF2 TGM2 TLR10 TLR2 TLR3 TLR4 TLR7 TLR9 TNF TNFAIP3 TNFAIP8L2 TNFRSF11A TNFRSF1A TNFRSF1B TNFSF11 TNFSF4 TNIP1 TYRO3 UACA VIMP VTN WNT5A XCL1 XIAP ZFP36 ZP3 ZYX
negative regulation of inflammatory response	ABR ACP5 ADA ADCYAP1 ADIPOQ ADORA1 ADORA2A ANXA1 AOAH APCS APOA1 APOD APOE BCR C1QTNF3 CALCRL CD276 CHID1 CHRNA7 CNR2 DUSP10 ELANE FAM132A FEM1A FFAR4 FOXF1 FOXP3 GATA3 GBA GHRL GHSR GPER1 GPX1 GPX2 GSTP1 HLA-DRB1 IER3 IL10 IL12B IL2 IL20RB IL22RA2 IL2RA IL4 INS IRG1 ISL1 KLF4 KRT1 MAPK7 MEFV METRNL MVK NDFIP1 NFKB1 NLRP12 NLRP3 NLRX1 NOD2 NR1H3 NT5E OTULIN PGLYRP1 PPARD PPARG PRKCD PSMB4 PTGER4 PTGIS PTPN2 RABGEF1 RORA RPS19 SAA1 SERPINC1 SERPINF1 SHARPIN SMAD3 SPN TEK TFF2 TNFAIP3 TNFAIP8L2 TNFRSF1A TNFRSF1B TYRO3 UACA VIMP ZFP36
positive regulation of inflammatory response	ADAM8 ADORA2B ADORA3 AGT AGTR1 ALOX5AP ANKRD42 C3 CCL24 CCL3 CCR2 CCR7 CD28 CD47 CNR1 CTSS CX3CL1 EDNRA EGFR F12 FABP4 FCER1A FCER1G FCGR1A FFAR2 FFAR3 GPRC5B H0Y858 HYAL2 IDO1 IL12B IL15 IL17A IL17B IL17C IL17F IL17RA IL17RC IL18 IL1B IL1RL1 IL2 IL21 IL23A IL33 IL6 IL6ST ITGA2 JAK2 KLKB1 LBP LTA MAPK13 NLRP12 NPY5R OSM OSMR PDE2A PIK3CG PLA2G2A PLA2G7 PRKCA PTGER3 PTGER4 PTGS2 RPS19 S100A12 S100A8 S100A9 SERPINE1 STAT5A STAT5B TAC1 TGM2 TLR10 TLR2 TLR3 TLR4 TLR7 TLR9 TNF TNFRSF11A TNFRSF1A TNFSF11 TNFSF4 TNIP1 WNT5A ZP3
regulation of peptidyl-tyrosine phosphorylation	ABI1 ABL1 ADAM17 ADIPOQ ADORA1 ADRA2A ADRA2B ADRA2C AFAP1L2 AGT ANGPT1 ANGPT4 APLP2 APP ARHGEF2 ARL2BP ARRB2 CAV1 CBLC CCK CCL5 CD24 CD300A CD36 CD3E CD4 CD40 CD44 CD74 CD80 CD81 CLCF1 CNTF CRLF1 CSF1R CSF2 CSF3 CSPG4 DKFZP686L0365 DMTN DOK7 DVL2 EFNA1 EFNA5 EGF EGFR EHD4 EPGN EPHA7 EPO ERBB3 ERBB4 ERCC6 EREG ERRFI1 FBXW7 FCER1A FGF10 FGF7 FGFR1OP FGFR3 FLT3 GAS6 GATA1 GH1 GHR GHRL GNB2L1 GPRC5B GREM1 HAX1 HCLS1 HES1 HES5 HGF HPX HRG HTR2A HYAL2 IBTK ICAM1 IFNA2 IFNG IFNL1 IGF1 IGF2 IL11 IL12A IL12B IL13 IL15 IL2 IL20 IL21 IL22RA2 IL23A IL23R IL24 IL3 IL31RA IL4 IL5 IL6 IL6R IL6ST INS ISL1 ITGA5 ITGB1 ITGB2 ITGB3 JAK2 KIT KITLG LACRT LCK LEP LIF LRP8 LYN MIF MLST8 MTOR MVP NCK2 NEURL1 NF2 NOD2 NRG1 NRP1 NTF3 OSM PAK2 PDCL3 PDGFA PDGFB PDGFC PDGFD PDGFRB PPAP2B PPP2CA PPP2R1A PRKCA PRKCD PRKCE PRKCZ PSEN1 PSEN2 PTK2B PTK6 PTPN2 PTPN6 PTPRC RAP2B RAP2C RELN RICTOR RIPK2 SAMSN1 SEMA4D SFRP1 SFRP2 SH2D1B SHC1 SNX6 SOCS1 SOCS4 SOCS5 SPINK1 SRCIN1 STK11 SYK TDGF1 TGFA THBS4 TMEM102 TNFRSF14 TNFRSF1A TNK2 TP53 TREM2 UNC119 VEGFA VEGFB VEGFC VTN WNT3A ZFYVE28 ZGPAT
positive regulation of peptidyl-tyrosine phosphorylation	ABI1 ABL1 ADAM17 ADIPOQ ADORA1 ADRA2A ADRA2B ADRA2C AFAP1L2 AGT ANGPT1 ANGPT4 ARHGEF2 ARL2BP ARRB2 CCK CCL5 CD24 CD36 CD3E CD4 CD40 CD44 CD74 CD80 CD81 CLCF1 CNTF CRLF1 CSF1R CSF2 CSF3 CSPG4 DKFZP686L0365 DOK7 DVL2 EFNA1 EFNA5 EGF EHD4 EPGN EPO ERBB3 ERBB4 ERCC6 EREG FBXW7 FCER1A FGF10 FGF7 FGFR3 FLT3 GAS6 GATA1 GH1 GHR GHRL GPRC5B GREM1 HAX1 HCLS1 HES1 HES5 HGF HPX HTR2A ICAM1 IFNA2 IFNG IFNL1 IGF1 IGF2 IL11 IL12A IL12B IL13 IL15 IL2 IL20 IL21 IL23A IL23R IL24 IL3 IL31RA IL4 IL5 IL6 IL6R IL6ST INS ISL1 ITGA5 ITGB1 ITGB3 JAK2 KIT KITLG LACRT LCK LEP LIF LRP8 LYN MIF MLST8 MTOR NEURL1 NOD2 NRG1 NRP1 NTF3 OSM PAK2 PDGFB PPAP2B PTK2B RELN RICTOR RIPK2 SEMA4D SH2D1B SRCIN1 STK11 SYK TDGF1 TGFA THBS4 TNFRSF14 TNFRSF1A TNK2 TP53 TREM2 UNC119 VEGFA VEGFB VEGFC VTN WNT3A
negative regulation of peptidyl-tyrosine phosphorylation	CAV1 CBLC CD300A DMTN ERRFI1 FGFR1OP GNB2L1 HYAL2 IBTK MVP NF2 NTF3 PPP2CA PPP2R1A PRKCD PRKCZ PSEN1 PTK6 PTPN2 PTPN6 PTPRC SAMSN1 SEMA4D SFRP1 SFRP2 SNX6 SOCS1 SOCS4 SOCS5 SPINK1 SRCIN1 ZFYVE28 ZGPAT
regulation of lipoprotein metabolic process	APOA4 APOD APOM C19ORF80 HHATL ITGAV ITGB3 LEP LIPG PON1 SVIP
regulation of phagocytosis	ABCA7 ABR ADIPOQ AHSG ALOX15 AZU1 BCR C2 C3 C4A C4B C4BPA C4BPB CALR CAMK1D CCL2 CD300A CD36 CD47 CNN2 CSK DOCK2 F2RL1 FCER1G FCGR1A FGR GAS6 GATA2 GNB2L1 HCK HMGB1 ITGA2 ITGAV LMAN2 MBL2 MERTK MFGE8 NCKAP1L NOD2 OLFM4 PRTN3 PTEN PTX3 PYCARD SCARB1 SFTPD SLC11A1 SPACA3 SYK TGFB1 TUB TULP1
negative regulation of phagocytosis	ADIPOQ CD300A CNN2 CSK GNB2L1 HMGB1 PRTN3 PTEN TGFB1
positive regulation of phagocytosis	ABCA7 ABR AHSG AZU1 BCR C2 C3 C4A C4B CALR CAMK1D CCL2 CD36 CD47 DOCK2 F2RL1 FCER1G FCGR1A GAS6 GATA2 ITGA2 ITGAV LMAN2 MBL2 MERTK MFGE8 NCKAP1L NOD2 PTX3 PYCARD SFTPD SLC11A1 SPACA3 TUB TULP1
negative regulation of neurogenesis	AATK ADCY6 ADCYAP1 APOE APP ARHGAP4 ARHGDIA ARHGEF1 ARHGEF2 ASCL1 ASCL2 ASPM ATF5 BCL11A BDNF BMP7 BMPR1A C3ORF17 CALR CBFA2T2 CDK5 CDK5R1 CDK5RAP2 CIB1 CIT CNTF CNTN2 CNTN4 COL3A1 CTDSP1 CTNNA1 CTNNB1 DAB1 DCC DGUOK DICER1 DIXDC1 DLL1 DLL3 DLX1 DLX2 DPYSL3 DRAXIN DRD3 DTX1 DYNLT1 EDNRB EFNA1 EPHA4 EPHB2 F2 FAT3 FGF13 FGFR3 FKBP4 FOXA2 FOXG1 FUOM GDI1 GFAP GFI1 GLI3 GNRH1 GORASP1 GPR173 GPR37L1 GPR56 GSK3B HDAC2 HES1 HES5 HMG20A HMGA2 HOOK3 HOXA2 ID2 ID4 IL15RA INPP5J IRX3 ISL1 ISL2 ITGB1 ITM2C JAG1 KANK1 KATNA1 KCTD11 KIAA0319 KLK8 LBX1 LGALS1 LIN28A LINGO1 LMX1A LPAR1 LRP4 MAG MBP MED1 MEIS1 MIB1 MT3 MYCN NF1 NGEF NGFR NKX2-2 NKX6-1 NKX6-2 NOG NOTCH1 NOTCH3 NR2E1 NR2F1 NRP1 NTN1 NTRK3 OLFM1 OLIG2 OMG PAFAH1B1 PAQR3 PAX6 PBX1 PCM1 PHOX2B PLXNA3 PRKCSH PSEN1 PTEN PTK2 PTPRG PTPRO RAP1GAP2 RAPGEF2 REST RHOA RNF10 RNF6 RTN4 RTN4R RUFY3 SEMA3A SEMA3F SEMA4F SEMA5A SEZ6 SIRT2 SIX3 SKI SLC6A4 SLIT1 SLIT2 SNAPIN SORL1 SOX11 SOX2 SOX3 SOX8 SOX9 SPG20 SPOCK1 SPP1 SRGAP2 SRGAP2C STAT3 STMN2 SYNGAP1 TBX6 TGFB1 THY1 TLX2 TLX3 TNR TP53 TP73 TRIM11 TRPV4 TSPO TTC3 ULK1 ULK2 VAX1 VIM WNT3 WNT3A WNT5A WNT7A YWHAH ZHX2 ZNF536
positive regulation of neurogenesis	ABL2 ACSL6 ACTR3 ADCYAP1 ADRA2B ADRA2C AMIGO1 ANAPC2 ANKRD1 APOE ARHGDIA ASCL1 ASPA ASPM ATF1 ATOH1 ATP8A2 AVIL BCL11A BCL2 BDNF BHLHB9 BIN1 BMP2 BMP4 BMP5 BMP6 BMP7 BMPR2 BNIP2 BRINP1 BRINP2 BRINP3 CAMK1 CAMK1D CAMK2B CAPRIN1 CAPRIN2 CBFA2T2 CDKL5 CDON CLCF1 CNR1 CNTN1 COBL CPEB3 CRP CRX CTNNB1 CUL7 CUX1 CUX2 CXCL12 CXCR4 DAB1 DAB2IP DCC DCT DICER1 DISC1 DIXDC1 DMD DMRTA2 DNMT3B DPYSL3 DRD2 DSCAM DUOXA1 DVL1 ECT2 ELL3 EPHA3 EPHA4 EPHB2 EPO ETV5 FBXW8 FES FEZ1 FEZF1 FEZF2 FGFR1 FIG4 FKBP1B FN1 FOXA1 FOXA2 FOXG1 FYN GDF5 GDF6 GDF7 GDPD5 GFAP GLI2 GLI3 GPER1 GPRC5B GRM5 GSX2 HDAC2 HES1 HEYL HIF1A HMG20B HOXD3 ID2 IFNG IL1RAPL1 IL2 IL6 IL6ST ILK IRX3 ISLR2 IST1 ITGA3 ITGB1 ITPKA KATNB1 KCTD11 KIDINS220 KIT LIF LIG4 LIMK1 LIN28A LOC100653515 LPAR1 LPAR3 LRP8 LTK LYN MAGI2 MAN2A1 MAP1B MAPK8IP3 MAPT MARK2 MEF2A MEF2C MEGF8 METRN MOB2 NAP1L2 NBL1 NCOA1 NDEL1 NDNF NEFL NEGR1 NEURL1 NEUROD1 NEUROD2 NEUROG1 NEUROG2 NEUROG3 NGF NGFR NKX2-2 NKX2-5 NKX6-1 NKX6-2 NLGN1 NME1 NOTCH1 NPTN NRCAM NRP1 NSMF NTF3 NTN1 NTRK1 NTRK2 NTRK3 NUMB NUMBL OBSL1 OLIG2 OPRM1 OTP PACSIN1 PAFAH1B1 PALM PAX6 PHOX2B PLAG1 PLK5 PLXNB1 PLXNB2 PPARG PRKCH PRKCI PRKD1 PROX1 PTK2B PTK6 PTK7 PTPRD RAB11A RAP1A RAP1B RAPGEF1 RAPGEF2 RARA RARB RELA RELN RET RGS14 RGS6 RHOA RND2 ROBO1 ROBO2 SALL1 SCARF1 SCN1B SEMA3A SEMA4D SEMA5A SEMA6A SEMA7A SERPINE2 SERPINF1 SEZ6 SHANK1 SHANK3 SHH SHOX2 SKIL SLIT2 SMAD1 SMARCD3 SMO SNW1 SOX10 SOX11 SOX2 SOX8 SPAG9 SPEN SPHK1 SRGAP2C STAR STK11 STK25 STMN2 TCF12 TCF3 TCF4 TENM3 TENM4 TGIF1 TGIF2 TIAM1 TIMP2 TLR2 TMEM30A TNFRSF12A TP73 TRIM32 TRIM67 TRPV2 TSPO TWF2 UBE2V2 UTRN VEGFA VEGFC VLDLR VWC2 VWC2L WNT3 WNT3A WNT5A XRCC2 XRCC4 XRCC5 XRCC6 ZEB1 ZNF335 ZNF488
regulation of axonogenesis	AATK ACHE AMIGO1 ANAPC2 APOE ARHGAP4 ARHGDIA ARHGEF1 BARHL2 BCL11A BMPR2 CACNA1A CDK5 CDK5R1 CDKL5 CHN1 CNTN2 CXCL12 DAB1 DCC DIXDC1 DRAXIN DSCAM EFNA1 EPHA4 EPHB2 EPHB3 FGF13 FN1 GDI1 GRIN1 ILK ISLR2 IST1 KIF13B LIMK1 LINGO1 LPAR3 LRP4 LRRC4C MAG MAP1B MAPT MARK2 MBP MEGF8 METRN MT3 NDEL1 NEFL NEFM NGF NGFR NKX6-1 NRCAM NRP1 NTN1 NTRK2 NTRK3 OMG PAFAH1B1 PLXNA3 PLXNA4 PLXNB1 PLXNB2 POU3F2 PSEN1 PTEN PTK2 PTPRO RAB11A RET RHOA RND2 RNF6 ROBO1 ROBO2 RTN4 RTN4R RUFY3 SEMA3A SEMA3F SEMA4D SEMA4F SEMA5A SEMA7A SHOX2 SIPA1L1 SKIL SLIT1 SLIT2 SPG20 SPP1 SSH1 SSH2 SSH3 STK11 STK25 SYNGAP1 THY1 TIAM1 TNFRSF12A TNR TRPV2 TTL TWF2 ULK1 ULK2 VEGFA WDR36 WNT3 WNT3A WNT5A WNT7A
